Skills,Education,ID,Category
Accounting; General Accounting; Accounts Payable; Program Management.,"Northern Maine Community College 1994 Associate : Accounting City , State , USA
Emphasis in Business
1994 Associates : Accounting City , State , USA GPA: GPA: 3.41
Accounting GPA: 3.41 174 Hours, Quarter
Attended Husson College, major Accounting 78 semester hours toward Bachelors degree.
Professional Military Comptroller School, 6wk, 4-98; Managerial Accounting I, 09-98; Interested-Based Bargaining Training for Management,
24hrs, 09-01; Auditing Methods and Concepts 09-98; Organizational Leadership, 32hrs, 07-03; Management Development II, 32hrs, 07-03.",10554236,ACCOUNTANT
"accounting, accounts payable, Accounts Receivable, ADP, advertising, AR, balance sheet, balance, bank reconciliations, benefits, billing, billings,
book keeping, budget, cash flow projections, cash flow, controller, Credit, clients, data collection, delivery, documentation, email, Finance,
financial, financial reporting, financial statements, fixed assets, General Ledger, inventory, job costing, ledger, legal, materials, meetings, Microsoft","Bachelor of Science : Accounting , May 2010 University of North Carolina ï¼​ City , State Accounting
Bachelor of Science : Business Administration Finance , May 2010 Business Administration Finance",10674770,ACCOUNTANT
"accounts payables, accounts receivables, Accounts Payable, Accounts Receivable, administrative functions, trial balance, banking, budget, bi,
closing, Computer Applications, Credit, clients, Customer Service, data entry, delivery, driving, email, insurance, inventory, ledger, Access, Excel,","Computer Applications Specialist Certificate Program : 2008 Martinez Adult Education, Business Training Center ï¼​ City , State",11163645,ACCOUNTANT
"accounting, balance sheet, budgets, client, clients, derivatives, drafting, equity, financial, financial accounting, financial statements, fixed assets,","EMORY UNIVERSITY, Goizueta Business School 5 2007 Bachelor of Business Administration : Accounting City , State GPA: GPA: 3.63/4.0
GPA: 3.77/4.0 Accounting GPA: 3.63/4.0 GPA: 3.77/4.0",11759079,ACCOUNTANT
Aderant/CMS Financial reporting,"Bachelor of Business Administration : Accounting August 2002
TEMPLE UNIVERSITY City , State
Accounting Audit Project: ""Identifying potential risks that would impact the audit of Xerox Corp."" Select Courses: Advance Accounting,
Accounting Information System, Auditing & Assurance Services, Taxation",12065211,ACCOUNTANT
"Internet and Microsoft Office - MS Word, MS Power Point, MS Excel, Pivot Tables, Spreadsheets,","Master of Business Administration : Finance 2011 University of Delaware , City , State , USA",12202337,ACCOUNTANT
"3d, accounting, Accountant, Accounts receivables, Adobe Illustrator, Adobe Photoshop, Pagemaker, Audio Editing, auditing, banking, book,","2006
Vidyasagar University City , State , India MBA : Finance Finance
2000
Mohan Lal Sukhadia University City , State , India Select...",12338274,ACCOUNTANT
,"Bachelor of Science , Accounting Strayer University ï¼​ City , State",12442909,ACCOUNTANT
Superior attention to detail,"Bachelor of Science Degree : Finance , May 2010
University of Maryland - State",12780508,ACCOUNTANT
"accounting, Accounting Systems, ad, analytical skills, auditing, automation, billing, budgeting, budgets, Budget, business operations, business
process, Cash-Flow, cash flow, closing, contracts, CPA, Crystal Reports, Database Management, Essbase, senior management, financial,","BS : Accounting Business Administration , 2005 University of Maryland University College ï¼​ City , State Accounting Business Administration
CPA Candidate",12802330,ACCOUNTANT
"Accounting, Accounting Systems, AIA, AS400, Billings, Bluebeam,Bonds, Budgets, Business Management, Clerical, Construction Management,","USM - GRAPHIC DESIGN, REAL ESTATE and NVCC-ARCHITECTURAL DRAFTING",13072019,ACCOUNTANT
Budget forecasting expertise General ledger accounting,,13130984,ACCOUNTANT
